offer_name,offer_description,discount,automatically_consider_offer,start_date,end_date,max_uses_per_order,max_uses_per_customer,customer_segment_id,sku_id
20220517_BOG_NB_tuberculos_W20,,16,true,17-05-2022,24-05-2022,2,2,,-302769#-302061#58488#56283#-302769#-302061#58488#56283#59057#56112#56110#70468#59055#70466#59057#56112#56110#70468#59055#70466#-302769#-302061#58488#56283#59057#56112#56110#70468#59055#70466#94271#-302265#150900#-302769#-302061#58488#56283#-303459#59065#48738#358689#132738#59067#48790#59063#132740#-303459#59065#48738#358689#132738#59067#48790#59063#132740#56104#59050#-303201#-302424#-302175#-301494#60070#132490#-302163#-303201#-302424#-302175#-301494#60070#132490#-302163
20220517_BOG_NB_verduras_W20,,20,true,17-05-2022,24-05-2022,50,2,,-300324#-300327#58813#-300330#-301275#-300882#-300324#-300327#58813#-300330#-301275#-303333#-303336#-300165#58827#-303432#-303339#-303354#59130#-303342#59132#-301119#-303432#-303339#-303354#59130#-303342#59132#-302802#-303408#58478#-303300#58952#-303432#-303339#-303354#59130#-303342#59132#-301104#-301158#134651#134653#-301296#-301266#58822#150483#150487#150485#150689#58979#-302361#58977#-303267#-303432#-303339#-303354#59130#-303342#59132#150741#150743#150745#150747#-301206#-301209#-301056#-301059#211601#58979#-302361#58977#-303267#-303333#-303336#12058#12060#58483#58979#-302361#58977#-303267#-301056#-301059#211601#58979#-302361#58977#-303267#-303432#-303339#-303354#59130#-303342#59132#12156#58473#-302370#58967#48702#150758#150760#150754#150756#32734#147156#-300252#-301296#-301266#58822#-301206#-301209#-302808#-302805#-303240#-302364#-303402#-303462#-303450#-300294#59123#-303462#-303450#-301194#59094#-302370#58967#48702#-301203#59079#-303219#151057#150741#150743#150745#150747#-301464#-300933#-300939#-302808#-302805#150483#150487#150485#150689#150758#150760#150754#150756#-302370#58967#48702#12058#12060#58483#-303300#58952#-300324#-300327#58813#-300330#-301275#-300183#59143#150758#150760#150754#150756
20220517_BOG_NB_frutas_W20,,20,true,17-05-2022,24-05-2022,50,2,,-301131#-302379#58962#-303249#-303252#98138#-300531#-303249#-303252#98138#-300531#56867#56869#-302313#59028#-302772#-302313#59028#144924#144936#144920#144934#144938#144922#-302301#150910#144924#144936#144920#144934#144938#144922#-300036#-300138#58947#-302379#58962#-300093#-300120#-300147#150925#150927#150929#-300078#58985#144924#144936#144920#144934#144938#144922#-303180#186668#163716#163718#163722#186670#163720#-302199#-302319#59018#144878#144886#144882#144888#144884#144880#211590#211592#211594#-303249#-303252#98138#-300531#-303249#-303252#98138#-300531#144878#144886#144882#144888#144884#144880#211590#211592#211594#144878#144886#144882#144888#144884#144880#211590#211592#211594#-302328#-302331#-302325#59008#65867#12091#54045#12038#59074#-300126#-302322#71964#-300093#-300120#-300147#150925#150927#150929#12091#54045#12038#59074#186668#163716#163718#163722#186670#163720#51156#65925#186668#163716#163718#163722#186670#163720#-302640#-303243#58994#144878#144886#144882#144888#144884#144880#211590#211592#211594#-302376#150936#144924#144936#144920#144934#144938#144922#144924#144936#144920#144934#144938#144922#-300093#-300120#-300147#150925#150927#150929#-302328#-302331#-302325#59008#65867#-300099#-300528
20220517_BOG_NB_huevos_W20,,10,true,17-05-2022,24-05-2022,12,2,,237039
20220517_BOG_NB_aceitesygrasas_W20,,10,true,17-05-2022,24-05-2022,2,2,,283255#212501#222689#89946#340889#340895#131489#114505#114503#333298#322945#322946#163539#340889#340895
20220517_BOG_NB_vasos_W20,,10,true,17-05-2022,24-05-2022,6,2,,274949#274948#274949#274948#277245#277246#329245#329244#41258#329245#329244#274946#274945#274955#274954#277245#277246#274952#274951#274955#274954#274946#274945#329247#329248#329247#329248#94423#287090#287089#310006
20220517_BOG_NB_contenedores_W20,,10,true,17-05-2022,24-05-2022,6,2,,9991#118010#178589#9991#118010#145643#145458#31501#118015#57791#71944#453689#453690#57803#61757#118033#57797#57817#453943#453944#453945#453939#453941#453940#71950#61757#118033#327839#327840#31501#118015
20220517_BOG_NB_papelytoallas_W20,,15,true,17-05-2022,24-05-2022,12,2,,197541#421592#421593#421594#197543#254437#421595#197545#421596#421597#197543#254437#421595#197341#75487#421380#421379#126189#421381#-301122#420393#420394#420395#197343#417928#417929#197345#417930#179739#197347#417931#75345#421382#197553#417935#197345#417930#75487#421380#421379#126189#421381#336743#336742#75370#197545#421596#421597#197539#421589#421590#421591#336743#336742#197547#417932#-302211#420399#75487#421380#421379#126189#421381
20220517_BOG_NB_arroz_W20,,7,true,17-05-2022,24-05-2022,4,2,,-302223#124649#124651#227790#234359#234361#227790#234359#234361#227790#234359#234361#-301707#124530#124536#-302223#124649#124651#-302223#124649#124651#227796
20220517_BOG_NB_frutasjugo_W20,,15,true,17-05-2022,24-05-2022,25,2,,-302262#-302268#-300399#59148#-302310#59023#-303234#58989#-302262#-302268
20220517_BOG_NB_bebidassinalcohol_W20,,15,true,17-05-2022,24-05-2022,10,2,,194399#227091#271114#271116#271115#271110#271112#271111#194393#194389#271118#271120#271119#227089#194403#257335#257339#295238#295239#295238#295239#295242#295243#257291#257333#271114#271116#271115#295240#295241#257325#271092#271093#271118#271120#271119#295242#295243#271110#271112#271111
